rep,frame,t,right_angle,right_elbow_dx_norm,right_dy_norm,left_angle,left_elbow_dx_norm,left_dy_norm,shoulder_width
0,0,0.0446,15.6,0.3049,0.4885,19.5,0.2397,0.4897,0.21
0,1,0.0928,16.4,0.296,0.5068,19.1,0.2332,0.5041,0.2123
0,2,0.1383,16.8,0.2923,0.5256,18.7,0.2353,0.4997,0.2122
0,3,0.1825,16.7,0.2917,0.5241,18.4,0.2371,0.5033,0.2124
0,4,0.2301,16.5,0.2893,0.5227,17.8,0.2415,0.5006,0.2124
0,5,0.2747,16.3,0.2835,0.518,17.9,0.2463,0.4988,0.2126
0,6,0.3232,16.2,0.2789,0.5178,17.8,0.2471,0.4952,0.2129
0,7,0.3709,15.6,0.2785,0.5034,17.0,0.2435,0.4884,0.2132
0,8,0.4172,14.9,0.2792,0.4907,16.7,0.2407,0.4816,0.2131
0,9,0.4636,14.7,0.2812,0.4861,16.5,0.2335,0.4735,0.214
0,10,0.5098,14.6,0.2811,0.4831,16.6,0.2277,0.471,0.215
0,11,0.5554,15.0,0.2838,0.4418,16.8,0.2244,0.4625,0.2157
0,12,0.6009,15.2,0.285,0.4183,17.0,0.2226,0.4584,0.2163
0,13,0.6469,15.6,0.274,0.2307,17.5,0.2246,0.4601,0.2162
0,14,0.6913,23.4,0.118,0.0515,19.4,0.269,0.46,0.2127
0,15,0.7369,9.3,0.2787,0.3264,6.4,0.3459,-0.0397,0.2004
0,16,0.7826,33.2,0.3348,0.8339,0.0,0.1644,-0.2596,0.1876
0,17,0.8285,55.9,0.2803,0.9916,14.9,0.0874,-0.3457,0.186
0,18,0.8727,30.6,0.2101,0.9988,25.0,0.1464,-0.296,0.1866
0,19,0.9206,15.8,0.2263,0.9509,27.2,0.178,-0.1283,0.1877
0,20,0.9701,13.0,0.2349,0.9634,26.4,0.2013,-0.0806,0.1884
0,21,1.013,8.8,0.2413,0.8873,23.9,0.2231,-0.0104,0.1898
0,22,1.0604,9.6,0.2675,0.7361,25.7,0.2196,0.3192,0.1935
0,23,1.1072,3.8,0.2986,0.3934,29.9,0.2061,0.5626,0.1973
0,24,1.1527,2.6,0.3072,0.283,29.1,0.1969,0.534,0.199
0,25,1.201,2.4,0.3041,0.2356,28.0,0.1883,0.4758,0.2022
0,26,1.2446,2.8,0.3007,0.2374,27.7,0.1848,0.4567,0.2043
0,27,1.2919,3.6,0.2947,0.2333,26.7,0.1908,0.4357,0.2056
0,28,1.3374,3.8,0.2889,0.2204,25.2,0.2083,0.418,0.2071
0,29,1.3826,3.9,0.2843,0.1947,24.2,0.2273,0.4136,0.2083
0,30,1.4309,3.9,0.2811,0.1808,23.6,0.2348,0.4084,0.209
0,31,1.4769,5.3,0.2788,0.2089,22.8,0.2547,0.405,0.2096
