label,peak_angle,min_angle,peak_dx_from_midline,peak_abs_dx_from_shoulder,min_dy_from_shoulder,max_dy_from_shoulder,peak_elbow_dx_from_shoulder,peak_elbow_dy_from_shoulder,path_length,net_displacement,straightness_ratio,shoulder_width
LEFT_JAB,28.5,18.6,-0.0389,0.0853,-0.0458,0.039,0.0526,0.2256,0.1309,0.0965,0.7367,0.2056
LEFT_JAB,53.2,20.8,-0.0453,0.1014,-0.0241,0.0584,0.0507,0.232,0.1593,0.1183,0.7427,0.2123
LEFT_JAB,18.0,7.1,-0.0843,0.0425,-0.0492,0.0831,0.0635,0.2378,0.1836,0.0004,0.0022,0.218
LEFT_JAB,18.1,7.0,-0.0837,0.0409,-0.0338,0.0899,0.0647,0.2385,0.1886,0.0067,0.0353,0.2195
LEFT_JAB,51.6,16.5,-0.0768,0.0998,-0.0009,0.0871,0.0678,0.2427,0.1305,0.1171,0.8974,0.2187
LEFT_JAB,169.8,16.0,-0.1536,0.0452,0.0814,0.3729,0.0537,0.249,0.3179,0.3113,0.9792,0.2222
LEFT_JAB,20.2,0.1,-0.0682,0.0544,-0.1413,0.0871,0.0455,0.2428,0.2725,0.0172,0.063,0.2179
LEFT_JAB,31.5,11.1,-0.1673,0.0634,0.037,0.088,0.0689,0.2405,0.1616,0.1165,0.7207,0.2181
LEFT_HOOK,34.7,16.3,-0.0735,0.0815,0.085,0.1272,0.0421,0.2544,0.1863,0.0,0.0,0.2241
LEFT_HOOK,155.1,4.9,-0.2782,0.1665,-0.0757,0.1695,0.15,0.2712,0.8038,0.096,0.1195,0.2211
LEFT_HOOK,130.3,7.1,-0.2137,0.1004,0.0681,0.2093,0.1274,0.2523,0.3353,0.1614,0.4813,0.2236
LEFT_HOOK,159.4,19.3,-0.3773,0.263,0.0894,0.3364,0.1315,0.2534,0.5696,0.3023,0.5307,0.2274
LEFT_HOOK,147.4,13.4,-0.3825,0.2708,-0.1249,0.1764,0.1652,0.2529,0.5978,0.3023,0.5057,0.2252
LEFT_HOOK,178.1,16.5,-0.3857,0.2742,0.0698,0.3639,0.1531,0.2461,0.5276,0.2546,0.4825,0.2245
LEFT_HOOK,139.4,2.4,-0.3807,0.2689,-0.1885,0.0996,0.1715,0.2538,0.6313,0.3034,0.4806,0.2265
LEFT_HOOK,177.4,10.0,-0.3651,0.2527,-0.034,0.3375,0.2011,0.2597,0.9226,0.225,0.2438,0.2239
LEFT_UPPERCUT,92.7,11.9,-0.161,0.0541,-0.1794,0.2601,0.1039,0.2571,0.7012,0.1985,0.2831,0.2294
LEFT_UPPERCUT,177.0,21.5,-0.2186,0.1066,-0.2734,0.3987,0.14,0.2562,1.0981,0.2734,0.249,0.2253
LEFT_UPPERCUT,100.4,2.0,-0.1872,0.0753,-0.262,0.1658,0.122,0.2515,0.6193,0.3679,0.5941,0.2295
LEFT_UPPERCUT,136.4,0.5,-0.2209,0.1083,-0.2808,0.3113,0.1112,0.249,0.8907,0.2292,0.2573,0.2226
LEFT_UPPERCUT,101.9,19.9,-0.1879,0.0812,-0.2151,0.254,0.1262,0.2422,0.785,0.1743,0.222,0.2124
LEFT_UPPERCUT,179.0,16.6,-0.2297,0.1146,-0.2248,0.4538,0.152,0.2553,1.1848,0.3632,0.3065,0.2272
LEFT_UPPERCUT,157.1,9.0,-0.136,0.0779,-0.2415,0.3754,0.0862,0.2518,1.0703,0.3337,0.3118,0.2182
LEFT_UPPERCUT,178.0,19.8,-0.2734,0.1585,-0.4318,0.3167,0.1411,0.2681,1.2783,0.1425,0.1115,0.224
